For that you must talk to Toshur, across the Plaza.	For that you must talk to Toshur, across the Plaza.
A thousand pardons, but I do not know how to create such things.	A thousand pardons, but I do not know how to create such things.
The pin has a value of 500 dinars.	The pin has a value of 500 dinars.
My baskets are made of reeds brought from the east, hand-dyed and woven by myself and my family.  They cost but one dinar each.	My baskets are made of reeds brought from the east, hand-dyed and woven by myself and my family.  They cost but one dinar each.
You bargain as a merchant born.  It is well that you are a traveling adventurer, or we would all be soon out of business with your skill at haggling.  It shall be but 75 centimes.	You bargain as a merchant born.  It is well that you are a traveling adventurer, or we would all be soon out of business with your skill at haggling.  It shall be but 75 centimes.
Alas, if I listened to you, my children would starve.  You are very good at bargaining, but I am very poor and cannot take any less than one small dinar.	Alas, if I listened to you, my children would starve.  You are very good at bargaining, but I am very poor and cannot take any less than one small dinar.
O Hero, would you but honor this humble katta by spending a trifle of your great riches for one of the baskets I have spent many months of making just for you.	O Hero, would you but honor this humble katta by spending a trifle of your great riches for one of the baskets I have spent many months of making just for you.
Only a true Hero such as yourself can deal with such a wicked thing of water magic!  There is no doubt that your kindness and bravery is great.	Only a true Hero such as yourself can deal with such a wicked thing of water magic!  There is no doubt that your kindness and bravery is great.
There is no doubt that you are the Hero all the Katta have waited for! You are truly wonderful to travel to Raseir to restore our home.	There is no doubt that you are the Hero all the Katta have waited for! You are truly wonderful to travel to Raseir to restore our home.
It is a mixture of copper and zinc, minerals most plentiful in this region, and is beautiful and long lasting.  It makes very fine lamps, braziers and tea servers.	It is a mixture of copper and zinc, minerals most plentiful in this region, and is beautiful and long lasting.  It makes very fine lamps, braziers and tea servers.
My tea servers are exquisitely wrought, an object of elegance whenever you serve tea.	My tea servers are exquisitely wrought, an object of elegance whenever you serve tea.
My oil lamps will light the way through the darkest night.  Surely an adventurer such as yourself would have need for such a thing.  For you, Effendi, I will charge but 15 dinars.	My oil lamps will light the way through the darkest night.  Surely an adventurer such as yourself would have need for such a thing.  For you, Effendi, I will charge but 15 dinars.
Though it is far below the price I must pay for such an object, nevertheless I am out-bargained and you shall have it for a mere 10 dinars.	Though it is far below the price I must pay for such an object, nevertheless I am out-bargained and you shall have it for a mere 10 dinars.
It grieves me very much, but what can I do?  It is impossible for me to charge any less than 15 dinars for such a beautiful and valuable object.	It grieves me very much, but what can I do?  It is impossible for me to charge any less than 15 dinars for such a beautiful and valuable object.
All the fine brasswork that I sell is worth nothing to a city without water.  Surely you can do something, Hero of Shapeir.	All the fine brasswork that I sell is worth nothing to a city without water.  Surely you can do something, Hero of Shapeir.
The apothecary sells oil, if you wish to buy some.	The apothecary sells oil, if you wish to buy some.
The earth the plant is in was specially suited to the type of plant.  If you wish, I will gladly give you some.	The earth the plant is in was specially suited to the type of plant.  If you wish, I will gladly give you some.
My pots are all made from clay which is shaped and painted by my hand.  I would be most pleased if you were to buy one.  There is a very pretty one here for only 3 dinars.	My pots are all made from clay which is shaped and painted by my hand.  I would be most pleased if you were to buy one.  There is a very pretty one here for only 3 dinars.
Mouth-tempting falafels of fresh roasted lamb.	Mouth-tempting falafels of fresh roasted lamb.
Perhaps you would like hot-spiced Saurus on a Stick?	Perhaps you would like hot-spiced Saurus on a Stick?
Since you speak so convincingly, then it will cost you a centime less.	Since you speak so convincingly, then it will cost you a centime less.
