Hello!  Bone Jar!  Hi, guy!  Set a spell, take your shoes off!  What may I do to you?	Hello!  Bone Jar!  Hi, guy!  Set a spell, take your shoes off!  What may I do to you?
Too hot to handle, the Force Bolt's my candle	Too hot to handle, the Force Bolt's my candle
My life's an open book and so are my wares, but I can't help you with that one, Son.	My life's an open book and so are my wares, but I can't help you with that one, Son.
Zap's for saps.  Force is the Source.  Besides, I don't carry that one.	Zap's for saps.  Force is the Source.  Besides, I don't carry that one.
Turn about's fair play, that's what I always say.  But the last time I saw a Reversal was...  well, I don't give out my age and neither does anyone else.	Turn about's fair play, that's what I always say.  But the last time I saw a Reversal was...  well, I don't give out my age and neither does anyone else.
SQUEEEEEEK!!	SQUEEEEEEK!!
Did you here that noise, Kamar?  See what it might be!	Did you here that noise, Kamar?  See what it might be!
You can't see anything in the dark wardrobe.	You can't see anything in the dark wardrobe.
You are in the front room of a modestly appointed house.  It is sparsely furnished.	You are in the front room of a modestly appointed house.  It is sparsely furnished.
The pots on the shelf are pretty, but pretty worthless.	The pots on the shelf are pretty, but pretty worthless.
You see an open trapdoor.	You see an open trapdoor.
You see a trapdoor concealed in the floor.	You see a trapdoor concealed in the floor.
That is a good idea.  You should do that.	That is a good idea.  You should do that.
Definitely.	Definitely.
The small carpet is firmly attached to the floor.	The small carpet is firmly attached to the floor.
You have already rolled up the carpet.	You have already rolled up the carpet.
You have to roll it up before you can unroll it.	You have to roll it up before you can unroll it.
You can't seem to find a lock to pick.	You can't seem to find a lock to pick.
You don't see anything to close.	You don't see anything to close.
The chest is already closed.	The chest is already closed.
You don't see anything to open.	You don't see anything to open.
You don't see any chest here.	You don't see any chest here.
The chest is far too heavy to lift out of this hole.	The chest is far too heavy to lift out of this hole.
You've already taken all the dinars.	You've already taken all the dinars.
You don't see any dinars here.	You don't see any dinars here.
Hiding there would be very difficult.	Hiding there would be very difficult.
You're standing tall already.	You're standing tall already.
You find nothing of value.	You find nothing of value.
You see no chest here.	You see no chest here.
You just can't do that inside the wardrobe.	You just can't do that inside the wardrobe.
The chest's lock yields to your lock picking skill, the lid swings open, and you see some dinars within.	The chest's lock yields to your lock picking skill, the lid swings open, and you see some dinars within.
You find sixty dinars which you quickly put away.	You find sixty dinars which you quickly put away.
Searching further, you find a false bottom in the chest.   Beneath it, you find a silver dagger which you take and stash away.	Searching further, you find a false bottom in the chest.   Beneath it, you find a silver dagger which you take and stash away.
Yesh, Fathher.	Yesh, Fathher.
Lucky for you, Kareem was too inebriated to see you.   Better not press your luck next time.  Find a good place to hide.	Lucky for you, Kareem was too inebriated to see you.   Better not press your luck next time.  Find a good place to hide.
You look pretty silly hiding in the corner.  You were just lucky that Kareem was very, very drunk.	You look pretty silly hiding in the corner.  You were just lucky that Kareem was very, very drunk.
What was it father told me?  If the key around my neck opens the lock... Ah!  This must be my house.	What was it father told me?  If the key around my neck opens the lock... Ah!  This must be my house.
WHAT??!!!!	WHAT??!!!!
I wonder why father would have left the carpet rolled up?  Oh well...	I wonder why father would have left the carpet rolled up?  Oh well...
You were lucky that Abdul wasn't smart enough to suspect a buglary.  Next time, you'd best replace the rug.	You were lucky that Abdul wasn't smart enough to suspect a buglary.  Next time, you'd best replace the rug.
Your senses tell you that it might be safe to come out now.	Your senses tell you that it might be safe to come out now.
Why are you fooling with father's secret hiding place which I'm not supposed ever to mention?	Why are you fooling with father's secret hiding place which I'm not supposed ever to mention?
What are you doing in our house this time of night?	What are you doing in our house this time of night?
Boy, yeah!  Can't wait 'till tomorrow when we get to cut off his OTHER hand!!  Har har.	Boy, yeah!  Can't wait 'till tomorrow when we get to cut off his OTHER hand!!  Har har.
Yeah, then he'll have no RIGHTS LEFT!  Ho ho ho.	Yeah, then he'll have no RIGHTS LEFT!  Ho ho ho.
Right! Ho ho ho!!	Right! Ho ho ho!!
(back-slap)	(back-slap)
WHAT??!!!	WHAT??!!!
That's a bad idea, unless you LIKE getting caught.	That's a bad idea, unless you LIKE getting caught.
The trial was shorter than you expected, and now so are you.   A full head shorter to be exact.	The trial was shorter than you expected, and now so are you.   A full head shorter to be exact.
You can't fetch someone that big.	You can't fetch someone that big.
He's hurt a little, but you're also making him more angry.	He's hurt a little, but you're also making him more angry.
A good thief knows worthless pottery when he sees it, and this is it.  It's not worth your trouble.	A good thief knows worthless pottery when he sees it, and this is it.  It's not worth your trouble.
You can't open the rug.	You can't open the rug.
The trapdoor swings open.	The trapdoor swings open.
You can't fetch the rug.  It's much too large.	You can't fetch the rug.  It's much too large.
You can't fetch the trapdoor.	You can't fetch the trapdoor.
Your spell latches on to the sixty dinars.	Your spell latches on to the sixty dinars.
You can't fetch the chest.  It's much too heavy.	You can't fetch the chest.  It's much too heavy.
You don't see any trapdoor here.	You don't see any trapdoor here.
You see a large chest.	You see a large chest.
squeeeeek!	squeeeeek!
You see the heavy chest, its lid still open.	You see the heavy chest, its lid still open.
You see a heavy, locked chest concealed beneath the floorboards.	You see a heavy, locked chest concealed beneath the floorboards.
The doors are difficult to open.  The hinges make a loud squeaking sound.	The doors are difficult to open.  The hinges make a loud squeaking sound.
Someone really should oil those hinges.	Someone really should oil those hinges.
You need to get closer to the wardrobe first.	You need to get closer to the wardrobe first.
You don't have any oil.	You don't have any oil.
Get closer to the wardrobe.	Get closer to the wardrobe.
The hinges look well oiled.	The hinges look well oiled.
The hinges look very rusty.  Someone should oil them.	The hinges look very rusty.  Someone should oil them.
The wardrobe's door isn't open.	The wardrobe's door isn't open.
The wardrobe's doors are already closed.	The wardrobe's doors are already closed.
You're too busy right now.	You're too busy right now.
