Since you speak so convincingly, then it will cost you a centime less.	Since you speak so convincingly, then it will cost you a centime less.
I have clothes of all sizes and styles, cloth of the finest dyes!  If it is made of cloth, then I carry it in my stand.  Perhaps I could sell you a cloth bag to contain your extra equipment?	I have clothes of all sizes and styles, cloth of the finest dyes!  If it is made of cloth, then I carry it in my stand.  Perhaps I could sell you a cloth bag to contain your extra equipment?
The bags I have are woven so fine they can carry the sand and plaster used to repair the city walls, yet strong enough that they will not break under so much weight.  They cost but fifty centimes.	The bags I have are woven so fine they can carry the sand and plaster used to repair the city walls, yet strong enough that they will not break under so much weight.  They cost but fifty centimes.
It can be said that all Katta are related to one another.  We are all family.	It can be said that all Katta are related to one another.  We are all family.
Hey!  You want a free drink, go find a free world!	Hey!  You want a free drink, go find a free world!
We only accept Raseirian coin here, Foreigner.	We only accept Raseirian coin here, Foreigner.
You get a small glass of tepid, stale-tasting water.	You get a small glass of tepid, stale-tasting water.
The coffee has been boiled for hours, it would appear, and it best resembles brown ooze.  You can understand why people remember Raseirish Coffee.	The coffee has been boiled for hours, it would appear, and it best resembles brown ooze.  You can understand why people remember Raseirish Coffee.
This drink sizzles in the glass.	This drink sizzles in the glass.
(It's the only way to get the glasses here clean!)	(It's the only way to get the glasses here clean!)
There is one prerequisite.  You need a drink.	There is one prerequisite.  You need a drink.
You only have water.	You only have water.
You have only a cup of coffee.	You have only a cup of coffee.
You have a Djinn Sling, remember?	You have a Djinn Sling, remember?
It is very dull, but it does quench the thirst.	It is very dull, but it does quench the thirst.
It tastes very bitter, yet the flavor is oddly likable.	It tastes very bitter, yet the flavor is oddly likable.
Wow!  You now know where the drink got its name.  You feel as if you've just been slung by a Djinn.	Wow!  You now know where the drink got its name.  You feel as if you've just been slung by a Djinn.
Welcome to the Blue Parrot.  I am Ferrari, Signor Ferrari.  Sit down, my dear sir, relax.  You are among friends here.	Welcome to the Blue Parrot.  I am Ferrari, Signor Ferrari.  Sit down, my dear sir, relax.  You are among friends here.
There is a large, closed door blocking your way.  Apparently, the sleeping rooms are only accessible at night.	There is a large, closed door blocking your way.  Apparently, the sleeping rooms are only accessible at night.
Through the haze of smoke, you see a place that reminds you a bit of a dream which turned into a nightmare.	Through the haze of smoke, you see a place that reminds you a bit of a dream which turned into a nightmare.
You think back to Ferrari's warning, and decide that practicing on this lock is a little too dangerous.  Better wait until evening when the door will be unlocked.	You think back to Ferrari's warning, and decide that practicing on this lock is a little too dangerous.  Better wait until evening when the door will be unlocked.
It is locked.  Apparently, the sleeping rooms are only accessible at night.	It is locked.  Apparently, the sleeping rooms are only accessible at night.
The person glares at you, then glances nervously over at Signor Ferrari.	The person glares at you, then glances nervously over at Signor Ferrari.
You're already seated, remember?	You're already seated, remember?
There's no need to sit at this time.	There's no need to sit at this time.
You'll have to sit down before you get up.	You'll have to sit down before you get up.
That is all very interesting.	That is all very interesting.
No one pays any attention to you.	No one pays any attention to you.
Great idea!  You'll need a drink, though.	Great idea!  You'll need a drink, though.
You don't see one you could get without being noticed.	You don't see one you could get without being noticed.
If you wish to buy a drink you must go talk to Wilmer.	If you wish to buy a drink you must go talk to Wilmer.
If you want a drink, come up to the front of the bar.	If you want a drink, come up to the front of the bar.
You've already got a drink.	You've already got a drink.
What do you want?	What do you want?
I only serve the good stuff, and that ain't it.	I only serve the good stuff, and that ain't it.
As you reach the front door, you suddenly realize the strain of the day's events.  You are in no condition to go anywhere other than bed.	As you reach the front door, you suddenly realize the strain of the day's events.  You are in no condition to go anywhere other than bed.
In case you were not aware of the matter, my dear sir, it is against the law in Raseir to be abroad at night.	In case you were not aware of the matter, my dear sir, it is against the law in Raseir to be abroad at night.
I should like to speak with you tomorrow about the use of your skills.  As head of all illegal activity in Raseir, I am an influential and respected man, and I have no intention of letting an amateur jeopardize my position, if you understand my meaning.  Good night, for now.	I should like to speak with you tomorrow about the use of your skills.  As head of all illegal activity in Raseir, I am an influential and respected man, and I have no intention of letting an amateur jeopardize my position, if you understand my meaning.  Good night, for now.
Please do not disturb me.  I need to think.	Please do not disturb me.  I need to think.
Ferrari ignores you.	Ferrari ignores you.
You see several guards burst into the inn.	You see several guards burst into the inn.
You are under arrest for breaking the law of Raseir on this day, the 29th of the Serpent, Year of the Djinn.  Come quietly, or you will be taken by force.	You are under arrest for breaking the law of Raseir on this day, the 29th of the Serpent, Year of the Djinn.  Come quietly, or you will be taken by force.
You follow the guard through the dark streets, past the gates of the palace, and into the dungeon of Raseir.	You follow the guard through the dark streets, past the gates of the palace, and into the dungeon of Raseir.
Ah, when I first saw you, I said to myself, there is a man who knows how to play the game.  I appreciate that in a man.	Ah, when I first saw you, I said to myself, there is a man who knows how to play the game.  I appreciate that in a man.
Know this, though.  I am the Thieves' Guild here.  Do not even think of using your skills around here without consulting me first.	Know this, though.  I am the Thieves' Guild here.  Do not even think of using your skills around here without consulting me first.
Ha ha, heh!  You seem very sure of yourself, don't you?	Ha ha, heh!  You seem very sure of yourself, don't you?
The man at the corner table uses his whip as a fly-swatter.	The man at the corner table uses his whip as a fly-swatter.
I asked you to SIT DOWN!  Please.	I asked you to SIT DOWN!  Please.
Ferrari just gestures you away with his fly-swatter.  You find the bartender glaring at you.	Ferrari just gestures you away with his fly-swatter.  You find the bartender glaring at you.
I do not know what Ugarte has to say, and I am most intrigued.  Perhaps you should relieve our curiosity and pay the man.	I do not know what Ugarte has to say, and I am most intrigued.  Perhaps you should relieve our curiosity and pay the man.
You should hurry.  There is little time.	You should hurry.  There is little time.
Ferrari just stares at the black bird.	Ferrari just stares at the black bird.
Ferrari avoids your eye and your question as he studiously swats flies.	Ferrari avoids your eye and your question as he studiously swats flies.
Do as Signor Ferrari orders.	Do as Signor Ferrari orders.
You stealthily nab the oil lamp.	You stealthily nab the oil lamp.
If you're going to steal a lamp, you'd better choose one in a less conspicuous corner of the room.	If you're going to steal a lamp, you'd better choose one in a less conspicuous corner of the room.
You hear cursing and grumbling nearby.	You hear cursing and grumbling nearby.
I do what I can to help those poor unfortunates who live around here.  Water is my speciality.	I do what I can to help those poor unfortunates who live around here.  Water is my speciality.
Since the fountain has dried up, the only place to get water is from the Emir's men.  The only place other than myself, that is. It is surprising how much water is worth to one who is thirsty.	Since the fountain has dried up, the only place to get water is from the Emir's men.  The only place other than myself, that is. It is surprising how much water is worth to one who is thirsty.
That is all that I have for you now, but I will be keeping my ears open, now that I know you are such a valuable customer.	That is all that I have for you now, but I will be keeping my ears open, now that I know you are such a valuable customer.
I am always fond of those who are willing to pay for my services.	I am always fond of those who are willing to pay for my services.
Khaveen is a very dangerous man to trifle with, yet there are ways to get around him.	Khaveen is a very dangerous man to trifle with, yet there are ways to get around him.
This 'Someone' told Khaveen to watch for you.  It is interesting to see Khaveen play the lackey around here.	This 'Someone' told Khaveen to watch for you.  It is interesting to see Khaveen play the lackey around here.
Khaveen likes to be the one to give the orders around here.  He is not happy when he is forced to follow them.	Khaveen likes to be the one to give the orders around here.  He is not happy when he is forced to follow them.
Khaveen is not the person in charge in Raseir, although he would like to believe otherwise.	Khaveen is not the person in charge in Raseir, although he would like to believe otherwise.
About that one, I can say no more.  it is said that the whisper of his name will draw his attention.  I have no wish for him to notice me.	About that one, I can say no more.  it is said that the whisper of his name will draw his attention.  I have no wish for him to notice me.
How else is an honest businessman to make a living around here?	How else is an honest businessman to make a living around here?
It is said that, ah, someone, is waiting for someone to open a door to something.  I have had no desire to learn more about it.  Things dealing with magic are best left alone.	It is said that, ah, someone, is waiting for someone to open a door to something.  I have had no desire to learn more about it.  Things dealing with magic are best left alone.
It is said that the only way to leave Raseir's dungeon is to die.	It is said that the only way to leave Raseir's dungeon is to die.
We are old friends, are we not, Ferrari?	We are old friends, are we not, Ferrari?
No! Nothing! I know nothing about him.  It is best such a name be forgotten.	No! Nothing! I know nothing about him.  It is best such a name be forgotten.
