The fear of fire is great to a seller of rugs.  A thousand thanks for saving our city, brave one.	The fear of fire is great to a seller of rugs.  A thousand thanks for saving our city, brave one.
Forgive me, but Shema would be most displeased if I sold you something which you could not easily carry and for which you have no real use.	Forgive me, but Shema would be most displeased if I sold you something which you could not easily carry and for which you have no real use.
The finest of carpets in all of the land I have for your perusal, Hero of the North.	The finest of carpets in all of the land I have for your perusal, Hero of the North.
I am Tiram, and all my family makes the carpets.	I am Tiram, and all my family makes the carpets.
It is but a token of our gratitude.	It is but a token of our gratitude.
It is a symbol by which all Katta who look upon it will know you are a true hero.	It is a symbol by which all Katta who look upon it will know you are a true hero.
Only a friend can see it upon you.	Only a friend can see it upon you.
The city is destroyed! Great job, Hero!	The city is destroyed! Great job, Hero!
It is most regrettable that I am so ignorant of such a thing that I could tell you nothing which would add to your own knowledge.	It is most regrettable that I am so ignorant of such a thing that I could tell you nothing which would add to your own knowledge.
A thousand pardons, Effendi.  I could add little to your knowledge of that subject.	A thousand pardons, Effendi.  I could add little to your knowledge of that subject.
This is a most friendly and comfortable place to reside.	This is a most friendly and comfortable place to reside.
There were once many Katta in Raseir.  When the new Emir took over, he drove our people away.	There were once many Katta in Raseir.  When the new Emir took over, he drove our people away.
Such a destructive thing in the Plazas means a terrible loss of business and lives.  When water is thrown at it, the thing of fire merely leaps away!	Such a destructive thing in the Plazas means a terrible loss of business and lives.  When water is thrown at it, the thing of fire merely leaps away!
There is little the Katta can do with such a thing except suffer.	There is little the Katta can do with such a thing except suffer.
Wind of such force can easily blow our stands away.	Wind of such force can easily blow our stands away.
It is a thing of such force that little can stand in its way.	It is a thing of such force that little can stand in its way.
We know little of such things but that we will suffer when Elementals are around.	We know little of such things but that we will suffer when Elementals are around.
The Katta know but little magics, practical magics.  Perhaps you might ask at the shop of Magic.	The Katta know but little magics, practical magics.  Perhaps you might ask at the shop of Magic.
The Katta respect the Sultan very much.	The Katta respect the Sultan very much.
The Emir Arus of Raseir was a friendly man who chatted daily with the Katta merchants in the plazas.  We mourn the loss of such a one.	The Emir Arus of Raseir was a friendly man who chatted daily with the Katta merchants in the plazas.  We mourn the loss of such a one.
The palace is where the Sultan Harun al-Rashid resides.	The palace is where the Sultan Harun al-Rashid resides.
Our people have always lived in the deserts around here.	Our people have always lived in the deserts around here.
The only coins we can accept are the dinars and centimes of Shapeir.	The only coins we can accept are the dinars and centimes of Shapeir.
The Guild of Adventurers is on the west side of the Plaza of the Fighters.	The Guild of Adventurers is on the west side of the Plaza of the Fighters.
It is good to have Shameen and Shema back to run the inn.	It is good to have Shameen and Shema back to run the inn.
The weather is always wonderful this time of year.	The weather is always wonderful this time of year.
The fountain is very beautiful, but it is also very wet.	The fountain is very beautiful, but it is also very wet.
It is told that a Hero from the north will come to restore the Katta to their home in Raseir.  So did Shema and Shameen travel to find such a one.	It is told that a Hero from the north will come to restore the Katta to their home in Raseir.  So did Shema and Shameen travel to find such a one.
The Money Changer will give you the dinars and centimes with which you need to purchase things in this land.  She is on Dinar Tarik.	The Money Changer will give you the dinars and centimes with which you need to purchase things in this land.  She is on Dinar Tarik.
She is most wise and powerful and one to be respected.	She is most wise and powerful and one to be respected.
The poetry of the poet is most illuminating.	The poetry of the poet is most illuminating.
We Katta enjoy the chance to sit in the sun and chat with our neighbors as a way of living.	We Katta enjoy the chance to sit in the sun and chat with our neighbors as a way of living.
We are a quiet people who endure like the sands of the desert.	We are a quiet people who endure like the sands of the desert.
He is a very brave and daring Katta.	He is a very brave and daring Katta.
Shema is most wise and clever.	Shema is most wise and clever.
It is feared that he has been imprisoned in Raseir.	It is feared that he has been imprisoned in Raseir.
We merchants set up the bazaar in all the plazas.	We merchants set up the bazaar in all the plazas.
I would be honored to sell you some flowers, Hero of the North.  They are a mere 10 centimes.	I would be honored to sell you some flowers, Hero of the North.  They are a mere 10 centimes.
His name is Sitar.  He is shy, but a very good musician.  He performs at the Inn sometimes in the evening.	His name is Sitar.  He is shy, but a very good musician.  He performs at the Inn sometimes in the evening.
The name of the snake is Hissa.  He is Sitar's companion and music critic.	The name of the snake is Hissa.  He is Sitar's companion and music critic.
He makes his living by performing in the bazaar.	He makes his living by performing in the bazaar.
The Bazaar of Shapeir is in every plaza of this city.	The Bazaar of Shapeir is in every plaza of this city.
You are most skilled at bargaining.  They shall be but half the price!	You are most skilled at bargaining.  They shall be but half the price!
It is most unfortunate that I cannot reduce my price.	It is most unfortunate that I cannot reduce my price.
I sell the finest of rugs, hand-woven by my family.	I sell the finest of rugs, hand-woven by my family.
A thousand pardons, but I do not know how to create such things.	A thousand pardons, but I do not know how to create such things.
I have many types of necklaces and bracelets, but my specialty is to sell the jewelry best suited to the customer.	I have many types of necklaces and bracelets, but my specialty is to sell the jewelry best suited to the customer.
I believe, O Hero, that for you I have a pin.	I believe, O Hero, that for you I have a pin.
Here is a pin with a sapphire of exceeding clarity and color like that of your eyes, and a simple but elegant gold setting with the color like that of your hair.  It would be a gift worthy of a Sultan.	Here is a pin with a sapphire of exceeding clarity and color like that of your eyes, and a simple but elegant gold setting with the color like that of your hair.  It would be a gift worthy of a Sultan.
The pin is a token of the Katta's trust in you, O Hero.	The pin is a token of the Katta's trust in you, O Hero.
The pin has a value of 500 dinars.	The pin has a value of 500 dinars.
May it someday be of value to you.	May it someday be of value to you.
My baskets are made of reeds brought from the east, hand-dyed and woven by myself and my family.  They cost but one dinar each.	My baskets are made of reeds brought from the east, hand-dyed and woven by myself and my family.  They cost but one dinar each.
You bargain as a merchant born.  It is well that you are a traveling adventurer, or we would all be soon out of business with your skill at haggling.  It shall be but 75 centimes.	You bargain as a merchant born.  It is well that you are a traveling adventurer, or we would all be soon out of business with your skill at haggling.  It shall be but 75 centimes.
Alas, if I listened to you, my children would starve.  You are very good at bargaining, but I am very poor and cannot take any less than one small dinar.	Alas, if I listened to you, my children would starve.  You are very good at bargaining, but I am very poor and cannot take any less than one small dinar.
I have baskets of all colors, sizes, and shapes to contain whatever you wish.  I will be most honored if the Hero of the North were to purchase one of my baskets.	I have baskets of all colors, sizes, and shapes to contain whatever you wish.  I will be most honored if the Hero of the North were to purchase one of my baskets.
O Hero, would you but honor this humble katta by spending a trifle of your great riches for one of the baskets I have spent many months of making just for you.	O Hero, would you but honor this humble katta by spending a trifle of your great riches for one of the baskets I have spent many months of making just for you.
The merchants in the Plaza of the Palace could not set their stands there because of a strange wind.	The merchants in the Plaza of the Palace could not set their stands there because of a strange wind.
There is a strange thing upon the streets.  It is formed of the stone of the city.	There is a strange thing upon the streets.  It is formed of the stone of the city.
Only a true Hero such as yourself can deal with such a wicked thing of water magic!  There is no doubt that your kindness and bravery is great.	Only a true Hero such as yourself can deal with such a wicked thing of water magic!  There is no doubt that your kindness and bravery is great.
There is no doubt that you are the Hero all the Katta have waited for! You are truly wonderful to travel to Raseir to restore our home.	There is no doubt that you are the Hero all the Katta have waited for! You are truly wonderful to travel to Raseir to restore our home.
It is a mixture of copper and zinc, minerals most plentiful in this region, and is beautiful and long lasting.  It makes very fine lamps, braziers and tea servers.	It is a mixture of copper and zinc, minerals most plentiful in this region, and is beautiful and long lasting.  It makes very fine lamps, braziers and tea servers.
Braziers are mostly used for cooking or for apothecary work.  You most likely have no need for them.	Braziers are mostly used for cooking or for apothecary work.  You most likely have no need for them.
My tea servers are exquisitely wrought, an object of elegance whenever you serve tea.	My tea servers are exquisitely wrought, an object of elegance whenever you serve tea.
My oil lamps will light the way through the darkest night.  Surely an adventurer such as yourself would have need for such a thing.  For you, Effendi, I will charge but 15 dinars.	My oil lamps will light the way through the darkest night.  Surely an adventurer such as yourself would have need for such a thing.  For you, Effendi, I will charge but 15 dinars.
Alas, I just sold my last bottle last week to a stranger named Hadji.  He said something about a dream of Djinni.	Alas, I just sold my last bottle last week to a stranger named Hadji.  He said something about a dream of Djinni.
Though it is far below the price I must pay for such an object, nevertheless I am out-bargained and you shall have it for a mere 10 dinars.	Though it is far below the price I must pay for such an object, nevertheless I am out-bargained and you shall have it for a mere 10 dinars.
It grieves me very much, but what can I do?  It is impossible for me to charge any less than 15 dinars for such a beautiful and valuable object.	It grieves me very much, but what can I do?  It is impossible for me to charge any less than 15 dinars for such a beautiful and valuable object.
Brass is essence of all that I sell:  lanterns and lamps, braziers and bottles, tea servers and cups.  I have the goods of the finest workers of metal in the city.	Brass is essence of all that I sell:  lanterns and lamps, braziers and bottles, tea servers and cups.  I have the goods of the finest workers of metal in the city.
Surely a great adventurer as yourself will need a lamp on your travels.  Allow me to sell to you the finest oil lamp in the land.	Surely a great adventurer as yourself will need a lamp on your travels.  Allow me to sell to you the finest oil lamp in the land.
It is said that an Elemental of Air blows in the city.	It is said that an Elemental of Air blows in the city.
As I left where I live this morning, I heard something very large behind me.	As I left where I live this morning, I heard something very large behind me.
All the fine brasswork that I sell is worth nothing to a city without water.  Surely you can do something, Hero of Shapeir.	All the fine brasswork that I sell is worth nothing to a city without water.  Surely you can do something, Hero of Shapeir.
It has been spoken on the streets that you journey to Raseir.  Surely our homeland will be returned.	It has been spoken on the streets that you journey to Raseir.  Surely our homeland will be returned.
The apothecary sells oil, if you wish to buy some.	The apothecary sells oil, if you wish to buy some.
I have flowering plants and green plants, planted in specially prepared earth and placed in pots from the potter across the way.  All will brighten a room and freshen the air.	I have flowering plants and green plants, planted in specially prepared earth and placed in pots from the potter across the way.  All will brighten a room and freshen the air.
The earth the plant is in was specially suited to the type of plant.  If you wish, I will gladly give you some.	The earth the plant is in was specially suited to the type of plant.  If you wish, I will gladly give you some.
Living plants to bring the outdoors inside.  Flowers alive to grow and thrive.	Living plants to bring the outdoors inside.  Flowers alive to grow and thrive.
Enjoy the beauty of the living plant.  Its very breath lightens the air and fills a room with gladness.	Enjoy the beauty of the living plant.  Its very breath lightens the air and fills a room with gladness.
It is feared that the wind that now blows is an ill one.	It is feared that the wind that now blows is an ill one.
My plants are trembling as is the very city.  You can feel it shake beneath your feet.	My plants are trembling as is the very city.  You can feel it shake beneath your feet.
My plants wither already because I cannot water them.  The grant of this single favor is worth to me a thousand others. Please rid this land of the Elemental of Water.	My plants wither already because I cannot water them.  The grant of this single favor is worth to me a thousand others. Please rid this land of the Elemental of Water.
May good fortune watch over you always.	May good fortune watch over you always.
Pots for sale, earthenware pots in brightly colored glazes.  I have the pot you have long sought!	Pots for sale, earthenware pots in brightly colored glazes.  I have the pot you have long sought!
I will be happy to sell you the pot which best suits your needs.  I have pots in every size and many colors.	I will be happy to sell you the pot which best suits your needs.  I have pots in every size and many colors.
It will take a most brave hero to deal with the thing of wind.	It will take a most brave hero to deal with the thing of wind.
My pots are shaking with every step the Earth Elemental takes.	My pots are shaking with every step the Earth Elemental takes.
What good is a pot which cannot be filled?  We need your aid!	What good is a pot which cannot be filled?  We need your aid!
There are no thanks great enough for all you have done and will do.	There are no thanks great enough for all you have done and will do.
My pots are all made from clay which is shaped and painted by my hand.  I would be most pleased if you were to buy one.  There is a very pretty one here for only 3 dinars.	My pots are all made from clay which is shaped and painted by my hand.  I would be most pleased if you were to buy one.  There is a very pretty one here for only 3 dinars.
Clay is a special type of earth which is used to make pots.	Clay is a special type of earth which is used to make pots.
We have delicious things for you to eat.	We have delicious things for you to eat.
Mouth-tempting falafels of fresh roasted lamb.	Mouth-tempting falafels of fresh roasted lamb.
Dates stuffed with honeyed almonds to tease your tongue.	Dates stuffed with honeyed almonds to tease your tongue.
It is a certainty that you will enjoy what we sell.	It is a certainty that you will enjoy what we sell.
Would you care today to try some fried bread and honey?	Would you care today to try some fried bread and honey?
Perhaps you would like hot-spiced Saurus on a Stick?	Perhaps you would like hot-spiced Saurus on a Stick?
What about some nice lizard jerky?	What about some nice lizard jerky?
Mmmmm--mmm!  I could go for some lizard jerky, myself!	Mmmmm--mmm!  I could go for some lizard jerky, myself!
The Plaza of the Palace has been abandoned by merchants today.	The Plaza of the Palace has been abandoned by merchants today.
There is an Elemental of Air which blew them from the plaza.	There is an Elemental of Air which blew them from the plaza.
The Katta are afraid to walk the streets.	The Katta are afraid to walk the streets.
An Elemental of Earth is moving there.	An Elemental of Earth is moving there.
Friend of the Katta, the Water Elemental will have us all dying of thirst!	Friend of the Katta, the Water Elemental will have us all dying of thirst!
There must be something you can do to help us, Hero of Shapeir!	There must be something you can do to help us, Hero of Shapeir!
Rumor has said that you are journeying to Raseir.	Rumor has said that you are journeying to Raseir.
It has been said that you seek to restore the old Emir!	It has been said that you seek to restore the old Emir!
You could not forget your friends the Katta.	You could not forget your friends the Katta.
The homeland of our people shall be restored through your actions!	The homeland of our people shall be restored through your actions!
