Welcome, %s	Welcome, %s
You have passed this day from the lesser mortal plane into the Realm of Wizards.  You are now qualified to begin your post-graduate magical training.  In fifteen or twenty years, you will be ready to return to the world of mere men.  Until that time, you will bask in the sunshine and security of academia, knowing you shall receive the best of all possible educations.	You have passed this day from the lesser mortal plane into the Realm of Wizards.  You are now qualified to begin your post-graduate magical training.  In fifteen or twenty years, you will be ready to return to the world of mere men.  Until that time, you will bask in the sunshine and security of academia, knowing you shall receive the best of all possible educations.
Ahead of you are the wonders of Wizardry.  Behind you are all the petty problems inherent in the mundane land.  You have passed beyond those weaklings who depended upon your skills and dared to call you "friend."  You will now learn the real Magic of the Wizard's Institute of Technocery -- knowledge gained through careful study.	Ahead of you are the wonders of Wizardry.  Behind you are all the petty problems inherent in the mundane land.  You have passed beyond those weaklings who depended upon your skills and dared to call you "friend."  You will now learn the real Magic of the Wizard's Institute of Technocery -- knowledge gained through careful study.
Walk away from the world of those fools who claim they need you.  You are more than just a Hero now.  You are a scholar!  You have only to take the oath that you will ignore and forget about those who said they needed you in the land of Shapeir and devote yourself to the improvement of your mind and magic.  Will you take the oath?	Walk away from the world of those fools who claim they need you.  You are more than just a Hero now.  You are a scholar!  You have only to take the oath that you will ignore and forget about those who said they needed you in the land of Shapeir and devote yourself to the improvement of your mind and magic.  Will you take the oath?
Welcome to the Wizard's Institute of Technocery, Wizard.	Welcome to the Wizard's Institute of Technocery, Wizard.
You walk the hallowed halls of the ivory towers of WIT and devote the next twenty years of your life to learning.  You become one of the greatest scholars of all time upon the subject of "Scrying Scrolls."	You walk the hallowed halls of the ivory towers of WIT and devote the next twenty years of your life to learning.  You become one of the greatest scholars of all time upon the subject of "Scrying Scrolls."
Well, it is obvious you think being a Hero is more important than being a scholar.  Perhaps someday when you have matured a bit, you will comprehend the enormity of the education you have ignored!  The Wizard's Institute of Technocery is for real Wizards rather than the real world!	Well, it is obvious you think being a Hero is more important than being a scholar.  Perhaps someday when you have matured a bit, you will comprehend the enormity of the education you have ignored!  The Wizard's Institute of Technocery is for real Wizards rather than the real world!
My graduation present for you is the "Reversal" Spell.  You may recall the Kobold's use of it against you in Spielburg.	My graduation present for you is the "Reversal" Spell.  You may recall the Kobold's use of it against you in Spielburg.
You feel the thrill of knowledge.  Now you know how to cast the Spell of "Reversal."	You feel the thrill of knowledge.  Now you know how to cast the Spell of "Reversal."
You should now return to Shapeir.  They really need a real Wizard-Hero like you there.  And, remember, "Those who can, do."	You should now return to Shapeir.  They really need a real Wizard-Hero like you there.  And, remember, "Those who can, do."
When it turns into its rathole?	When it turns into its rathole?
It's a long way to tip a ratty?  Or maybe, "Cheese it, I Swiss I hadn't gone this Whey."  Oh, all right, what did the rat say?	It's a long way to tip a ratty?  Or maybe, "Cheese it, I Swiss I hadn't gone this Whey."  Oh, all right, what did the rat say?
I guess I Bleu it.  I'd Cheddar be Gouda for awhile, right?	I guess I Bleu it.  I'd Cheddar be Gouda for awhile, right?
Walk the path of Wizardry.	Walk the path of Wizardry.
Very good.  Now, young Hero of Spielburg, remember:  To try and fail there is no shame ...	Very good.  Now, young Hero of Spielburg, remember:  To try and fail there is no shame ...
Just don't make your excuses lame.  Heh, heh!	Just don't make your excuses lame.  Heh, heh!
Ouch!  My nose!	Ouch!  My nose!
You find yourself in a strange place.  For some reason, you cannot move your legs, although you see nothing constraining them.  A strange feeling passes through you, as though someone were examining you closely.	You find yourself in a strange place.  For some reason, you cannot move your legs, although you see nothing constraining them.  A strange feeling passes through you, as though someone were examining you closely.
Ah, I see now that you are not magically prepared for this test.  You need to go out in the world and learn a bit more before returning.	Ah, I see now that you are not magically prepared for this test.  You need to go out in the world and learn a bit more before returning.
However, before you can be considered a true Wizard, you must pass the trial of Initiation which the wizards of WIT will give you.	However, before you can be considered a true Wizard, you must pass the trial of Initiation which the wizards of WIT will give you.
I warn you, this test will take all of your wits and magical skills in order to succeed.  If you succeed, you will then face ...but I can say no more.	I warn you, this test will take all of your wits and magical skills in order to succeed.  If you succeed, you will then face ...but I can say no more.
Oh, Fenrus!	Oh, Fenrus!
You find yourself trapped between a second and infinity.  In this place, there is no time, and you cannot save it.	You find yourself trapped between a second and infinity.  In this place, there is no time, and you cannot save it.
You find yourself trapped between a second and infinity.  In this place, there is neither time nor space.	You find yourself trapped between a second and infinity.  In this place, there is neither time nor space.
There used to be nothing here.  But not any more.	There used to be nothing here.  But not any more.
You've just managed to click on Roger Wilco, who is still floating around, lost in space, time, sequels, and every other dimension, waiting for you to purchase his latest adventure and help him out of his latest bind.	You've just managed to click on Roger Wilco, who is still floating around, lost in space, time, sequels, and every other dimension, waiting for you to purchase his latest adventure and help him out of his latest bind.
You've never seen a dimensionless void this big before.  Not dimension this other void over here.	You've never seen a dimensionless void this big before.  Not dimension this other void over here.
You can't dazzle the creature if it isn't facing you.	You can't dazzle the creature if it isn't facing you.
Carefully judging the distance between the approaching staff and the path, you decide there isn't enough room for a good-sized hero such as yourself.	Carefully judging the distance between the approaching staff and the path, you decide there isn't enough room for a good-sized hero such as yourself.
You find yourself walking on a narrow pathway leading to the edge of infinity.  You hear only your own footsteps.	You find yourself walking on a narrow pathway leading to the edge of infinity.  You hear only your own footsteps.
Well, it LOOKED easy enough to climb!	Well, it LOOKED easy enough to climb!
We see that you haven't enough magical power remaining to finish Our Tests.  We dismiss you from Our Presence.	We see that you haven't enough magical power remaining to finish Our Tests.  We dismiss you from Our Presence.
Are you CRAZY?	Are you CRAZY?
Yep, it's magic, alright!	Yep, it's magic, alright!
You don't have the ability to fetch such a huge object.	You don't have the ability to fetch such a huge object.
The door is much too hot to climb.	The door is much too hot to climb.
You seem to have melted the hoarfrost.  Now you can see that the Iceberg is fractured.	You seem to have melted the hoarfrost.  Now you can see that the Iceberg is fractured.
You seem to just be melting some of the massive Iceberg.	You seem to just be melting some of the massive Iceberg.
Heat.	Heat.
Eee-ouch!  It feels pretty hot!	Eee-ouch!  It feels pretty hot!
The door will not respond to physical force.  You must use only magic to solve my test correctly.	The door will not respond to physical force.  You must use only magic to solve my test correctly.
The Ice is too solid.  You will need to break the fissure first.	The Ice is too solid.  You will need to break the fissure first.
The Ice is now very relaxed.	The Ice is now very relaxed.
The door is already closed.	The door is already closed.
Your Detect Magic spell has revealed what appears to be a magical door at the end of the hallway.  Or is it just an illusion?	Your Detect Magic spell has revealed what appears to be a magical door at the end of the hallway.  Or is it just an illusion?
This dead-end alley looks much like the other streets of Shapeir.  You feel a very slight tingling feeling, almost beyond the limits of sensation.	This dead-end alley looks much like the other streets of Shapeir.  You feel a very slight tingling feeling, almost beyond the limits of sensation.
You are walking through one of the many twisty streets of the city.	You are walking through one of the many twisty streets of the city.
You don't detect any doors here at the moment.	You don't detect any doors here at the moment.
No one enters the gates of the Palace of the Sultan Harun al-Rashid (May he reign forever!) unless ordered to do so.	No one enters the gates of the Palace of the Sultan Harun al-Rashid (May he reign forever!) unless ordered to do so.
The courtyard plaza of the Palace of the Sultan is very clean.	The courtyard plaza of the Palace of the Sultan is very clean.
The wind catches the %s and spins it away.   It takes far more skill to throw into something than to throw at something.	The wind catches the %s and spins it away.   It takes far more skill to throw into something than to throw at something.
You have managed to throw the %s into the center of the funnel.	You have managed to throw the %s into the center of the funnel.
Hmm.  Nothing to grab on to.	Hmm.  Nothing to grab on to.
You force some earth into the center of the Air Elemental's funnel.	You force some earth into the center of the Air Elemental's funnel.
You force some sand into the center of the Air Elemental's funnel.	You force some sand into the center of the Air Elemental's funnel.
It's too windy to do that.	It's too windy to do that.
You scoop some dirt into the funnel.	You scoop some dirt into the funnel.
You don't seem to be close enough for that.	You don't seem to be close enough for that.
You pitch some sand into the funnel.	You pitch some sand into the funnel.
You will need to be on the ground in order to do that.	You will need to be on the ground in order to do that.
This place lies somewhere between weird and infinity.  Much more toward weird.	This place lies somewhere between weird and infinity.  Much more toward weird.
You uncurled me some whirl from Dervish?  Oh, frabjous day, hoorah, hooray!  Here's the Dinars that I must pay.	You uncurled me some whirl from Dervish?  Oh, frabjous day, hoorah, hooray!  Here's the Dinars that I must pay.
You don't dare while the shopkeepers watching.  He might throw a pie at you.	You don't dare while the shopkeepers watching.  He might throw a pie at you.
What do I look like, a department store?	What do I look like, a department store?
I fear you can't procure that here, Dear.	I fear you can't procure that here, Dear.
The fact that the clouds on the ceiling don't move leads you to the conclusion that they were not painted on with an air brush.	The fact that the clouds on the ceiling don't move leads you to the conclusion that they were not painted on with an air brush.
Talk about topsy-turvy.  The sun shines up from the floor onto the clouds above.	Talk about topsy-turvy.  The sun shines up from the floor onto the clouds above.
I happen to have a Magic Rope for sale, direct from some Hindoo who did the best he kin do.	I happen to have a Magic Rope for sale, direct from some Hindoo who did the best he kin do.
I see by your outfit that you know some magic. You see by my outfit that I know some, too. We can see by our outfits that we both know magic. I guess that we two must eschew the Hoodoo.	I see by your outfit that you know some magic. You see by my outfit that I know some, too. We can see by our outfits that we both know magic. I guess that we two must eschew the Hoodoo.
Hello sailor, new in town?  So how ya doin, Bruin?	Hello sailor, new in town?  So how ya doin, Bruin?
Had any WITty conversation?  Been Chanting with the Enchantress yet?	Had any WITty conversation?  Been Chanting with the Enchantress yet?
It sure LOOKED real!	It sure LOOKED real!
Say Jay, what the hey?  The rope you've got is one and the same.	Say Jay, what the hey?  The rope you've got is one and the same.
Well, the tag says 15 dinars, but I guess I can take 14 for 'em...	Well, the tag says 15 dinars, but I guess I can take 14 for 'em...
Naaaaaah, I guessed wrong.  15 dinars it is, then.	Naaaaaah, I guessed wrong.  15 dinars it is, then.
Whew!  Smooth talking, Dude.  Ya got the gift for gab, Tab.	Whew!  Smooth talking, Dude.  Ya got the gift for gab, Tab.
Tell ya what I'm going ta do.  Seein' as you beein' a Heero and all, I'll reduce the price by %d whole simoleons.	Tell ya what I'm going ta do.  Seein' as you beein' a Heero and all, I'll reduce the price by %d whole simoleons.
(Dinars, that is.  Dough, Flo.  Shapeir Buck an Ear.)	(Dinars, that is.  Dough, Flo.  Shapeir Buck an Ear.)
Possible, Probable, my blue hen, Make it appear as I say when!	Possible, Probable, my blue hen, Make it appear as I say when!
Presto, Change-o, Re-arrange-o!	Presto, Change-o, Re-arrange-o!
Eins, Zwei, Drei, Vier, Make it snappy und bring it here!	Eins, Zwei, Drei, Vier, Make it snappy und bring it here!
The sum doesn't balance.  COD or DOA.  Pay, or go away.	The sum doesn't balance.  COD or DOA.  Pay, or go away.
You need to go get some dough from the Money Changer, Stranger.	You need to go get some dough from the Money Changer, Stranger.
The spell looks and feels very familiar.  In fact, you realize that you already knew it!  What a waste of money!	The spell looks and feels very familiar.  In fact, you realize that you already knew it!  What a waste of money!
Abracabadra and didgery-doo, Make the thing appear for you!	Abracabadra and didgery-doo, Make the thing appear for you!
Buon giorno!  Good and tag!  Buenas Dias, Senor Caws.  I haven't seen you in so long.	Buon giorno!  Good and tag!  Buenas Dias, Senor Caws.  I haven't seen you in so long.
